date,price,volume,vix,dxy,hashrate,difficulty,fng,active_addresses,tx_count,fees_btc,funding_mean,funding_abs,ret,hash_growth,dxy_chg,vix_chg,vol_chg,addr_growth,tx_growth,fees_growth,fng_scaled,hash_ma30,hash_ma60,hash_ribbon,ret_lag1,hash_growth_lag1,dxy_chg_lag1,vix_chg_lag1,vol_chg_lag1,fng_scaled_lag1,hash_ribbon_lag1,addr_growth_lag1,tx_growth_lag1,fees_growth_lag1,funding_mean_lag1,funding_abs_lag1
2021-07-24,34292.4453125,21664706865,17.2000007629395,92.2699966430664,104668925.56707,13672594272814,22,712132,196325,12.89541262,-0.000104093333333333,0.000104093333333333,0.0209482443566706,0.131677823975206,0,0,-0.0401412773019239,-0.120397571441472,-0.17613841325063,-0.385653738003521,-0.56,95600042.004824,114021263.241637,1,0.0385039422719053,-0.125163142954005,-0.0062662461560814,-0.0280901101851416,0.142583005728611,-0.54,1,0.0282535804419712,0.0456806145182931,0.338105716016378,-5.877e-05,6.10633333333334e-05
2021-07-25,35350.1875,20856685287,17.2000007629395,92.2699966430664,103989257.219231,13672594272814,27,641796,172110,9.56048467,-0.000175303333333333,0.000175303333333333,0.0303786197976574,-0.00651468102120134,0,0,-0.038009990633995,-0.103992637408806,-0.131636925340123,-0.274439584322316,-0.46,95433181.0518652,113222779.970822,1,0.0209482443566706,0.131677823975206,0,0,-0.0401412773019239,-0.56,1,-0.120397571441472,-0.17613841325063,-0.385653738003521,-0.000104093333333333,0.000104093333333333
2021-07-26,37337.53515625,51022126212,17.5799999237061,92.8899993896484,101950252.175717,13672594272814,26,958347,269826,18.62782094,-0.000116136666666667,0.00024947,0.0546954286916126,-0.0198026272961762,0.00669696561991007,0.0218524597408649,0.894584851816063,0.400938914482607,0.449641395392909,0.619828821498969,-0.48,95891958.3556281,112494068.920229,1,0.0303786197976574,-0.00651468102120134,0,0,-0.038009990633995,-0.46,1,-0.103992637408806,-0.131636925340123,-0.274439584322316,-0.000175303333333333,0.000175303333333333
2021-07-27,39406.94140625,35097370560,19.3600006103516,92.7900009155274,115543619.132479,13672594272814,32,903400,251334,15.93512278,5.91733333333333e-05,7.416e-05,0.0539428534880369,0.125163142954001,-0.00107710559698937,0.0964472254576374,-0.374133171088715,-0.0590444386447881,-0.0709943022779633,-0.147558259186897,-0.36,97794712.3077193,111950411.730537,1,0.0546954286916126,-0.0198026272961762,0.00669696561991007,0.0218524597408649,0.894584851816063,-0.48,1,0.400938914482607,0.449641395392909,0.619828821498969,-0.000116136666666667,0.00024947
2021-07-28,39995.90625,38702404695,18.3099994659424,93.25,106707930.610584,13672594272814,50,868607,255513,15.71437773,5.98766666666667e-05,7.34566666666667e-05,0.0148351265164539,-0.0795526317019473,0.00494517329217725,-0.0557617838559739,0.0977755200818287,-0.0392745998676141,0.0164904920455484,-0.0131204453763005,0,98478136.5204068,111321746.448049,1,0.0539428534880369,0.125163142954001,-0.00107710559698937,0.0964472254576374,-0.374133171088715,-0.36,1,-0.0590444386447881,-0.0709943022779633,-0.147558259186897,5.91733333333333e-05,7.416e-05
2021-07-29,40008.421875,27167146027,17.7000007629395,93.25,108746935.654098,13672594272814,50,880689,261353,15.05617547,6.58966666666667e-05,6.58966666666667e-05,0.000312873700597294,0.0189280098855136,0,-0.0338826468351732,-0.353893358338354,0.0138137608610034,0.0225986075250209,-0.040175750881831,0,99130441.1262345,110603225.378228,1,0.0148351265164539,-0.0795526317019473,0.00494517329217725,-0.0557617838559739,0.0977755200818287,0,1,-0.0392745998676141,0.0164904920455484,-0.0131204453763005,5.98766666666667e-05,7.34566666666667e-05
2021-07-30,42235.546875,33072782960,18.2399997711182,93.3000030517578,112824945.741127,13672594272814,53,841162,250833,14.24411318,5.87433333333333e-05,7.459e-05,0.0541722306526182,0.0368139731227188,0.000536082038459007,0.0300522894141317,0.196702300477856,-0.0459202330651145,-0.0410844444294654,-0.0519001325145987,0.06,99951708.215511,110024863.490237,1,0.000312873700597294,0.0189280098855136,0,-0.0338826468351732,-0.353893358338354,0,1,0.0138137608610034,0.0225986075250209,-0.040175750881831,6.58966666666667e-05,6.58966666666667e-05
2021-07-31,41626.1953125,25802845343,18.2399997711182,93.3000030517578,112465862.12589,14319158983942.7,60,720022,204354,11.1087788,1e-04,1e-04,-0.0145325453751504,-0.0031877369761375,0,0,-0.248225906607459,-0.155502302133211,-0.204932688222934,-0.230262697343567,0.2,100562832.967659,109423078.73596,1,0.0541722306526182,0.0368139731227188,0.000536082038459007,0.0300522894141317,0.196702300477856,0.06,1,-0.0459202330651145,-0.0410844444294654,-0.0519001325145987,5.87433333333333e-05,7.459e-05
2021-08-01,39974.89453125,26688438115,18.2399997711182,93.3000030517578,110975800.791183,14496442856349,60,695892,190234,9.80192789,1e-04,1e-04,-0.040478043755714,-0.0133375611707542,0,0,0.0337456717620732,-0.0340872430606307,-0.0715985275290976,-0.114206083668178,0.2,101289433.078056,108377944.281366,1,-0.0145325453751504,-0.0031877369761375,0,0,-0.248225906607459,0.2,1,-0.155502302133211,-0.204932688222934,-0.230262697343567,1e-04,1e-04
2021-08-02,39201.9453125,25595265436,19.4599990844727,93.0199966430664,103048957.877527,14496442856349,48,899861,236019,13.33482268,1e-04,1e-04,-0.0195252494648095,-0.0741079721537226,-0.00300565285473287,0.0647440576133933,-0.041823051746114,0.257045505350519,0.215656397190935,0.282967103001587,-0.04,101434195.800231,107532020.42613,1,-0.040478043755714,-0.0133375611707542,0,0,0.0337456717620732,0.2,1,-0.0340872430606307,-0.0715985275290976,-0.114206083668178,1e-04,1e-04
